Pattern,Topology,Offset,Rank_A,Coord_A,Rank_B,Coord_B,Hop_Count
AllPingPong Neighbor19,mesh,"(1, -1, 0)",10,"(0, 1, 2)",9,"(1, 0, 2)",4
AllPingPong Neighbor19,mesh,"(1, -1, 0)",14,"(0, 1, 3)",13,"(1, 0, 3)",4
AllPingPong Neighbor20,mesh,"(1, -1, 1)",2,"(0, 1, 0)",5,"(1, 0, 1)",5
AllPingPong Neighbor20,mesh,"(1, -1, 1)",6,"(0, 1, 1)",9,"(1, 0, 2)",5
AllPingPong Neighbor20,mesh,"(1, -1, 1)",10,"(0, 1, 2)",13,"(1, 0, 3)",5
AllPingPong Neighbor21,mesh,"(1, 0, -1)",4,"(0, 0, 1)",1,"(1, 0, 0)",4
AllPingPong Neighbor21,mesh,"(1, 0, -1)",6,"(0, 1, 1)",3,"(1, 1, 0)",4
AllPingPong Neighbor21,mesh,"(1, 0, -1)",8,"(0, 0, 2)",5,"(1, 0, 1)",4
AllPingPong Neighbor21,mesh,"(1, 0, -1)",10,"(0, 1, 2)",7,"(1, 1, 1)",4
AllPingPong Neighbor21,mesh,"(1, 0, -1)",12,"(0, 0, 3)",9,"(1, 0, 2)",4
AllPingPong Neighbor21,mesh,"(1, 0, -1)",14,"(0, 1, 3)",11,"(1, 1, 2)",4
AllPingPong Neighbor22,mesh,"(1, 0, 0)",0,"(0, 0, 0)",1,"(1, 0, 0)",3
AllPingPong Neighbor22,mesh,"(1, 0, 0)",2,"(0, 1, 0)",3,"(1, 1, 0)",3
AllPingPong Neighbor22,mesh,"(1, 0, 0)",4,"(0, 0, 1)",5,"(1, 0, 1)",3
AllPingPong Neighbor22,mesh,"(1, 0, 0)",6,"(0, 1, 1)",7,"(1, 1, 1)",3
AllPingPong Neighbor22,mesh,"(1, 0, 0)",8,"(0, 0, 2)",9,"(1, 0, 2)",3
AllPingPong Neighbor22,mesh,"(1, 0, 0)",10,"(0, 1, 2)",11,"(1, 1, 2)",3
AllPingPong Neighbor22,mesh,"(1, 0, 0)",12,"(0, 0, 3)",13,"(1, 0, 3)",3
AllPingPong Neighbor22,mesh,"(1, 0, 0)",14,"(0, 1, 3)",15,"(1, 1, 3)",3
AllPingPong Neighbor23,mesh,"(1, 0, 1)",0,"(0, 0, 0)",5,"(1, 0, 1)",4
AllPingPong Neighbor23,mesh,"(1, 0, 1)",2,"(0, 1, 0)",7,"(1, 1, 1)",4
AllPingPong Neighbor23,mesh,"(1, 0, 1)",4,"(0, 0, 1)",9,"(1, 0, 2)",4
AllPingPong Neighbor23,mesh,"(1, 0, 1)",6,"(0, 1, 1)",11,"(1, 1, 2)",4
AllPingPong Neighbor23,mesh,"(1, 0, 1)",8,"(0, 0, 2)",13,"(1, 0, 3)",4
AllPingPong Neighbor23,mesh,"(1, 0, 1)",10,"(0, 1, 2)",15,"(1, 1, 3)",4
AllPingPong Neighbor24,mesh,"(1, 1, -1)",4,"(0, 0, 1)",3,"(1, 1, 0)",5
AllPingPong Neighbor24,mesh,"(1, 1, -1)",8,"(0, 0, 2)",7,"(1, 1, 1)",5
AllPingPong Neighbor24,mesh,"(1, 1, -1)",12,"(0, 0, 3)",11,"(1, 1, 2)",5
AllPingPong Neighbor25,mesh,"(1, 1, 0)",0,"(0, 0, 0)",3,"(1, 1, 0)",4
AllPingPong Neighbor25,mesh,"(1, 1, 0)",4,"(0, 0, 1)",7,"(1, 1, 1)",4
AllPingPong Neighbor25,mesh,"(1, 1, 0)",8,"(0, 0, 2)",11,"(1, 1, 2)",4
AllPingPong Neighbor25,mesh,"(1, 1, 0)",12,"(0, 0, 3)",15,"(1, 1, 3)",4
AllPingPong Neighbor26,mesh,"(1, 1, 1)",0,"(0, 0, 0)",7,"(1, 1, 1)",5
AllPingPong Neighbor26,mesh,"(1, 1, 1)",4,"(0, 0, 1)",11,"(1, 1, 2)",5
AllPingPong Neighbor26,mesh,"(1, 1, 1)",8,"(0, 0, 2)",15,"(1, 1, 3)",5
Allreduce,mesh,-,-,-,-,-,4.4
Barrier,mesh,-,-,-,-,-,15.125

Summary Pattern,Ranks,Pairs,Avg_Hop_Count
